statement_id,trust_account_number,transaction_date,description,credit_nzd,debit_nzd,running_balance_nzd,matched_ledger_entry,notes
B001,01-0748-0234567-00,2024-12-15,Credit - Rowe Estate (Dec 2024),8500.00,0.00,8500.00,L001,
B002,01-0748-0234567-00,2026-02-01,Credit - Murphy Estate funds,340000.00,0.00,348500.00,L002,
B003,01-0748-0234567-00,2026-02-14,Credit - Williams Estate funds,125000.00,0.00,473500.00,L003,
B004,01-0748-0234567-00,2026-03-01,Credit - Anderson purchase deposit,80000.00,0.00,553500.00,L004,
B005,01-0748-0234567-00,2026-03-05,Credit - Patel purchase deposit,50000.00,0.00,603500.00,L005,
B006,01-0748-0234567-00,2026-03-10,Credit - Ngata sale proceeds,490000.00,0.00,1093500.00,L006,
B007,01-0748-0234567-00,2026-03-15,Credit - Fitzgerald purchase deposit,95000.00,0.00,1188500.00,L007,
B008,01-0748-0234567-00,2026-03-20,Credit - Tauranga Commercial deposit,200000.00,0.00,1388500.00,L008,
B009,01-0748-0234567-00,2026-03-28,Credit - Schmidt purchase deposit,120000.00,0.00,1508500.00,,ERR-1: corresponds to ledger L009 but never formally reconciled
B010,01-0748-0234567-00,2026-04-01,Debit - Ngata vendor payment,0.00,482500.00,1026000.00,L010,
B011,01-0748-0234567-00,2026-04-05,Debit - Williams Estate beneficiary payment,0.00,40000.00,986000.00,L011,
B012,01-0748-0234567-00,2026-04-08,Credit - Chen purchase deposit,30000.00,0.00,1016000.00,L012,
B013,01-0748-0234567-00,2026-04-12,Credit - Anderson settlement funds,645000.00,0.00,1661000.00,L013,
B014,01-0748-0234567-00,2026-04-15,Debit - Anderson settlement to vendor,0.00,725000.00,936000.00,L014,
B015,01-0748-0234567-00,2026-04-15,Credit - Okonkwo purchase deposit,65000.00,0.00,1001000.00,L015,
B016,01-0748-0234567-00,2026-04-18,Debit - Murphy Estate beneficiary P. Murphy,0.00,200000.00,801000.00,L016,
B017,01-0748-0234567-00,2026-04-20,Debit - Murphy Estate final distribution,0.00,140000.00,661000.00,L017,
B018,01-0748-0234567-00,2026-04-21,Credit - Patel settlement funds,405000.00,0.00,1066000.00,L018,
B019,01-0748-0234567-00,2026-04-25,Credit - Nkosi sale proceeds,285000.00,0.00,1351000.00,L019,
B020,01-0748-0234567-00,2026-04-28,Debit - Patel settlement to vendor,0.00,455000.00,896000.00,L020,
B021,01-0748-0234567-00,2026-04-28,Debit - Fitzgerald settlement to vendor,0.00,97500.00,798500.00,L021,
B022,01-0748-0234567-00,2026-04-30,Credit - Trust account interest (Apr 2026),250.00,0.00,798750.00,,ERR-4: interest not allocated to any client matter; causes April recon discrepancy of $250
B023,01-0748-0234567-00,2026-05-01,Credit - Te Arawa commercial settlement,450000.00,0.00,1248750.00,L022,
B024,01-0748-0234567-00,2026-05-02,Debit - Tauranga lease deposit refund,0.00,195000.00,1053750.00,L023,
B025,01-0748-0234567-00,2026-05-10,Credit - Singh sale proceeds,380000.00,0.00,1433750.00,L024,
B026,01-0748-0234567-00,2026-05-10,Credit - Blackwood purchase deposit,55000.00,0.00,1488750.00,L025,
B027,01-0748-0234567-00,2026-05-12,Debit - Singh vendor payment,0.00,375000.00,1113750.00,L026,
B028,01-0748-0234567-00,2026-05-14,Debit - Te Arawa vendor payment,0.00,448000.00,665750.00,L027,
B029,01-0748-0234567-00,2026-05-15,Credit - Liu purchase deposit,110000.00,0.00,775750.00,L028,
B030,01-0748-0234567-00,2026-05-20,Credit - Garcia purchase deposit,25000.00,0.00,800750.00,L029,
B031,01-0748-0234567-00,2026-05-22,Credit - Unidentified receipt (source unknown),15000.00,0.00,815750.00,,ERR-5: no matching ledger entry; cannot be traced to any client matter
B032,01-0748-0234567-00,2026-05-28,Credit - Kowalski purchase deposit,40000.00,0.00,855750.00,L030,
B033,01-0748-0234567-00,2026-06-01,Credit - Yamamoto purchase deposit,70000.00,0.00,925750.00,L031,
B034,01-0748-0234567-00,2026-06-02,Credit - Robertson sale proceeds,620000.00,0.00,1545750.00,L032,
B035,01-0748-0234567-00,2026-06-02,Debit - Nkosi vendor payment,0.00,280000.00,1265750.00,L033,
B036,01-0748-0234567-00,2026-06-05,Debit - Robertson settlement to vendor,0.00,615000.00,650750.00,L034,
B037,01-0748-0234567-00,2026-06-10,Debit - Nkosi final disbursement,0.00,5000.00,645750.00,L035,
